epoch,box_loss,cls_loss,l1_loss,dfl_loss,loss_o2m,loss_o2o,prog_alpha,lr,precision,recall,mAP50,mAP50_95,fitness,ms_per_image,epoch_seconds,train_seconds,val_seconds,elapsed_hours
1,4.07122,6.67212,3.5038,0,14.0792,14.9189,0.8,0.00499987,0,0,0.000765173,0.000167077,0.000226887,1.58526,118.007,107.428,10.5786,0.03278
2,3.45956,5.85112,3.37881,0,12.8291,12.1391,0.797659,0.00499948,1,0,0.0358715,0.011304,0.0137607,0.946947,87.949,78.9712,8.97775,0.0575068
3,2.61923,4.78021,2.4895,0,9.90025,9.84496,0.795318,0.00499883,0.318542,0.283041,0.206287,0.0757364,0.0887915,0.933622,89.6261,80.764,8.86206,0.0825773
4,2.13505,3.63266,1.95788,0,7.68788,7.87006,0.792977,0.00499792,0.363809,0.518197,0.394381,0.175778,0.197638,0.930128,89.2375,80.6858,8.55174,0.10752
5,1.96029,3.17378,1.77896,0,6.86963,7.07693,0.790635,0.00499675,0.408619,0.607896,0.492333,0.22744,0.253929,0.928409,89.5735,80.6858,8.88775,0.132575
6,1.86032,2.8918,1.65939,0,6.36115,6.59905,0.788294,0.00499531,0.374698,0.611197,0.448633,0.191916,0.217587,0.940089,87.7996,78.9485,8.8511,0.157116
7,1.80631,2.72418,1.60017,0,6.0812,6.31225,0.785953,0.00499362,0.414912,0.699592,0.540164,0.216226,0.24862,0.936619,86.6004,78.0339,8.56651,0.181312
8,1.75407,2.60391,1.53888,0,5.85061,6.06431,0.783612,0.00499167,0.391326,0.736709,0.501481,0.218584,0.246873,0.945317,87.3605,78.481,8.87951,0.2057
9,1.71604,2.51813,1.51046,0,5.69791,5.91152,0.781271,0.00498946,0.426541,0.755505,0.576037,0.263822,0.295044,0.928129,88.8607,80.1043,8.75635,0.230503
10,1.68795,2.44986,1.47304,0,5.56095,5.78666,0.77893,0.00498699,0.443623,0.782942,0.60921,0.292819,0.324458,0.943933,87.9266,79.0572,8.86937,0.255094
11,1.67078,2.38853,1.45917,0,5.46726,5.69655,0.776589,0.00498426,0.453278,0.787347,0.62934,0.283028,0.31766,0.935399,87.9345,79.3105,8.62395,0.279664
12,1.64947,2.33353,1.43081,0,5.3659,5.57812,0.774247,0.00498127,0.428909,0.8341,0.641301,0.306191,0.339702,0.941186,88.5564,79.7094,8.84696,0.304378
13,1.63383,2.29174,1.38337,0,5.2562,5.48741,0.771906,0.00497803,0.433586,0.830498,0.643609,0.297008,0.331668,0.935152,88.8384,79.8403,8.99816,0.329228
14,1.62046,2.26598,1.39537,0,5.22821,5.4608,0.769565,0.00497452,0.413361,0.839529,0.616627,0.304199,0.335442,0.951434,87.754,78.8846,8.86935,0.353725
15,1.60681,2.24473,1.38011,0,5.18463,5.38666,0.767224,0.00497076,0.460333,0.782198,0.673361,0.329435,0.363828,0.938753,88.6112,79.9948,8.61635,0.378483
16,1.59341,2.20849,1.35773,0,5.10461,5.3386,0.764883,0.00496674,0.442649,0.783654,0.652378,0.295695,0.331363,0.938885,91.2466,82.5944,8.6522,0.403976
17,1.59161,2.18664,1.35663,0,5.07808,5.31732,0.762542,0.00496246,0.454276,0.841737,0.672264,0.334213,0.368018,0.937039,88.4015,79.6255,8.77602,0.428675
18,1.57647,2.14886,1.33161,0,4.99908,5.24038,0.760201,0.00495793,0.495705,0.814686,0.68618,0.345687,0.379736,0.917212,90.4866,81.8041,8.68248,0.453962
19,1.56792,2.13319,1.31499,0,4.95747,5.19959,0.75786,0.00495314,0.462608,0.827599,0.679431,0.339617,0.373599,0.922518,88.8117,79.9262,8.88552,0.478799
20,1.56023,2.09736,1.306,0,4.90584,5.14208,0.755518,0.0049481,0.460012,0.815017,0.684181,0.342602,0.376759,0.922857,90.8181,82.1067,8.71141,0.504163
21,1.54765,2.06746,1.29907,0,4.85651,5.09016,0.753177,0.0049428,0.472438,0.859075,0.716998,0.36674,0.401765,0.930559,90.7829,82.02,8.76284,0.529524
22,1.53924,2.07359,1.30655,0,4.86683,5.07775,0.750836,0.00493725,0.471536,0.825169,0.689204,0.340411,0.37529,0.903648,93.039,84.03,9.00904,0.55552
23,1.54195,2.05785,1.29952,0,4.84122,5.07223,0.748495,0.00493144,0.459344,0.836622,0.686725,0.326119,0.36218,0.932459,91.2082,82.4678,8.74041,0.581001
24,1.53697,2.04192,1.28527,0,4.80988,5.02369,0.746154,0.00492539,0.484439,0.8353,0.698372,0.345597,0.380874,0.928854,90.7605,82.0522,8.70833,0.60633
25,1.53176,2.03188,1.27744,0,4.77975,5.01916,0.743813,0.00491907,0.456938,0.834878,0.698749,0.342572,0.37819,0.939066,92.1491,83.2585,8.89053,0.632051
26,1.52235,2.01506,1.2619,0,4.73824,4.97448,0.741472,0.00491251,0.463357,0.85371,0.711679,0.362149,0.397102,0.926975,88.4329,79.6094,8.82348,0.65674
27,1.52088,2.02424,1.27368,0,4.762,4.97972,0.73913,0.0049057,0.456313,0.85044,0.704974,0.353601,0.388739,0.927345,90.7898,82.059,8.7308,0.682086
28,1.51282,1.99937,1.2628,0,4.71411,4.94543,0.736789,0.00489863,0.50652,0.830738,0.721649,0.365792,0.401378,0.896868,91.2621,82.5111,8.75101,0.707579
29,1.50837,1.98981,1.26599,0,4.70534,4.92688,0.734448,0.00489132,0.474758,0.829296,0.706355,0.356679,0.391646,0.904704,91.0982,82.2077,8.8905,0.733003
30,1.5007,1.97784,1.24934,0,4.6676,4.89261,0.732107,0.00488376,0.454488,0.823763,0.708409,0.356887,0.392039,0.915705,90.6123,81.7149,8.89737,0.758321
31,1.49939,1.95963,1.25373,0,4.65577,4.86663,0.729766,0.00487595,0.488382,0.832528,0.723969,0.362687,0.398815,0.905455,89.1601,80.4213,8.73882,0.783218
32,1.49047,1.96395,1.24379,0,4.64164,4.84921,0.727425,0.00486789,0.480898,0.848443,0.725805,0.363948,0.400134,0.924714,91.599,82.9388,8.66021,0.808806
33,1.49067,1.95439,1.25037,0,4.63752,4.84813,0.725084,0.00485959,0.490797,0.848683,0.727292,0.369018,0.404846,0.92862,93.4181,84.5408,8.87721,0.834882
34,1.49644,1.94465,1.24774,0,4.62738,4.84902,0.722742,0.00485104,0.488419,0.848546,0.72651,0.3662,0.402231,0.934946,89.8725,81.0302,8.84231,0.860027
35,1.48642,1.93338,1.24119,0,4.5991,4.82044,0.720401,0.00484225,0.480436,0.845655,0.715143,0.366377,0.401254,0.911536,90.4538,81.6204,8.83339,0.885284
36,1.47955,1.91674,1.22766,0,4.56218,4.78127,0.71806,0.00483322,0.475419,0.844935,0.720161,0.363128,0.398831,0.930399,91.6911,83.01,8.68114,0.910913
37,1.4857,1.93301,1.23821,0,4.59824,4.80464,0.715719,0.00482394,0.486403,0.865025,0.716108,0.362486,0.397848,0.918146,94.3618,85.5048,8.85699,0.937251
38,1.47299,1.89266,1.21487,0,4.51751,4.73737,0.713378,0.00481442,0.501934,0.866037,0.730382,0.370933,0.406878,0.909643,91.4444,82.658,8.78639,0.962782
39,1.47676,1.90004,1.21499,0,4.5313,4.74063,0.711037,0.00480467,0.507097,0.867849,0.726002,0.36622,0.402198,0.944904,87.1862,78.3314,8.85476,0.987154
40,1.47848,1.90078,1.23305,0,4.55212,4.75873,0.708696,0.00479467,0.520969,0.873445,0.738496,0.374304,0.410723,0.902501,86.839,78.2706,8.56843,1.0114
41,1.46623,1.89373,1.21294,0,4.50725,4.73084,0.706355,0.00478444,0.512746,0.858612,0.738105,0.37791,0.41393,0.925438,88.3127,79.4661,8.84653,1.03611
42,1.46787,1.88042,1.21057,0,4.49473,4.71141,0.704013,0.00477396,0.507457,0.873686,0.736042,0.375157,0.411245,0.931946,88.7684,79.9348,8.83359,1.06092
43,1.46608,1.88404,1.20344,0,4.4885,4.70656,0.701672,0.00476326,0.507111,0.867442,0.735587,0.372824,0.4091,0.92993,88.4217,79.4992,8.92252,1.08562
44,1.46878,1.88495,1.21057,0,4.49991,4.71405,0.699331,0.00475232,0.484846,0.867179,0.734066,0.376856,0.412577,1.01595,95.1791,81.2827,13.8964,1.11218
45,1.46454,1.89121,1.21041,0,4.5005,4.7172,0.69699,0.00474114,0.489645,0.870333,0.743859,0.381345,0.417596,1.04134,137.085,121.587,15.4976,1.15049
46,1.46029,1.86247,1.20336,0,4.45977,4.67706,0.694649,0.00472973,0.502561,0.878575,0.747117,0.382973,0.419387,1.00759,136.802,120.895,15.9066,1.18876
47,1.44756,1.86005,1.20744,0,4.45237,4.65606,0.692308,0.0047181,0.514722,0.876599,0.743585,0.378756,0.415239,0.985977,140.16,124.619,15.5409,1.22802
48,1.45757,1.85278,1.21379,0,4.45841,4.67041,0.689967,0.00470623,0.516367,0.875713,0.744616,0.378999,0.415561,1.07323,138.578,122.031,16.5472,1.26675
49,1.45148,1.8594,1.1928,0,4.43705,4.65036,0.687625,0.00469413,0.523278,0.882928,0.744927,0.379522,0.416063,1.04958,141.028,124.059,16.9694,1.30617
