epoch,box_loss,cls_loss,l1_loss,loss_o2m,loss_o2o,prog_alpha,lr,precision,recall,mAP50,mAP50_95,fitness,ms_per_image
1,4.11397,6.03391,3.68268,13.7853,14.0116,0.8,0.00499987,0,0,0.000315792,8.02317e-05,0.000103788,1.68385
2,3.40763,5.42142,3.70184,12.6382,12.108,0.797659,0.00499948,0.805921,0.0199116,0.0358445,0.00992788,0.0125195,0.940832
3,2.47362,4.32981,2.65367,9.48188,9.36079,0.795318,0.00499883,0.347311,0.246121,0.215466,0.0832585,0.0964793,0.935461
4,2.05218,3.36277,2.1554,7.53306,7.71321,0.792977,0.00499792,0.39,0.402725,0.360463,0.151871,0.172731,0.954017
5,1.89349,2.93356,1.96453,6.73984,6.98698,0.790635,0.00499675,0.377634,0.610908,0.474937,0.214204,0.240277,0.952009
6,1.81757,2.69581,1.85607,6.31133,6.58589,0.788294,0.00499531,0.368351,0.686838,0.507076,0.210131,0.239825,0.942207
7,1.76892,2.51936,1.77574,6.00667,6.27461,0.785953,0.00499362,0.418913,0.699512,0.556726,0.256587,0.286601,0.956539
8,1.72897,2.3925,1.71093,5.77192,6.05143,0.783612,0.00499167,0.387963,0.75346,0.579992,0.26277,0.294492,0.962772
9,1.69588,2.30341,1.66886,5.60852,5.88115,0.781271,0.00498946,0.393744,0.788573,0.614172,0.280027,0.313442,0.941102
10,1.67549,2.23875,1.63656,5.49212,5.75756,0.77893,0.00498699,0.382575,0.807677,0.617779,0.286353,0.319496,0.938203
11,1.6484,2.17913,1.61698,5.38431,5.6538,0.776589,0.00498426,0.390203,0.794742,0.634479,0.283644,0.318728,0.959787
12,1.63667,2.1294,1.60867,5.31354,5.58459,0.774247,0.00498127,0.394575,0.820275,0.633204,0.292107,0.326217,0.950332
13,1.61193,2.09126,1.56878,5.20906,5.4849,0.771906,0.00497803,0.372304,0.837451,0.662892,0.316456,0.351099,0.931367
14,1.59692,2.04347,1.56519,5.14402,5.41118,0.769565,0.00497452,0.42512,0.82528,0.677299,0.320379,0.356071,0.952093
15,1.59231,2.01241,1.53681,5.07804,5.35082,0.767224,0.00497076,0.421573,0.829272,0.685474,0.329099,0.364737,0.946023
16,1.58381,1.99507,1.52398,5.04065,5.30526,0.764883,0.00496674,0.427233,0.821993,0.681386,0.320668,0.35674,0.937462
17,1.5698,1.97335,1.50593,4.9848,5.25551,0.762542,0.00496246,0.416334,0.853872,0.715153,0.350015,0.386529,0.943916
18,1.56178,1.94882,1.49343,4.93788,5.21371,0.760201,0.00495793,0.445093,0.836546,0.714373,0.341868,0.379119,0.952066
19,1.55806,1.9255,1.4899,4.90349,5.19244,0.75786,0.00495314,0.441817,0.853802,0.720676,0.354416,0.391042,0.947881
20,1.55058,1.89266,1.47206,4.84671,5.12726,0.755518,0.0049481,0.42776,0.859865,0.729068,0.359701,0.396638,0.941704
21,1.54415,1.87848,1.45626,4.80988,5.08949,0.753177,0.0049428,0.437074,0.85664,0.728384,0.353667,0.391139,0.938178
22,1.54461,1.88058,1.46078,4.80983,5.11542,0.750836,0.00493725,0.441846,0.865102,0.745069,0.375643,0.412586,0.947038
23,1.53755,1.85129,1.44681,4.76755,5.03834,0.748495,0.00493144,0.436162,0.865235,0.727173,0.350623,0.388278,0.949633
24,1.52289,1.82042,1.42692,4.69532,4.99043,0.746154,0.00492539,0.451124,0.869378,0.743792,0.370326,0.407673,0.93425
25,1.52777,1.82177,1.42839,4.7022,4.99777,0.743813,0.00491907,0.463905,0.8701,0.763012,0.379832,0.41815,0.947621
26,1.52273,1.80842,1.42334,4.68024,4.96742,0.741472,0.00491251,0.452763,0.881223,0.759681,0.385439,0.422864,0.945602
27,1.50908,1.76819,1.39249,4.59858,4.87144,0.73913,0.0049057,0.467983,0.880577,0.772118,0.385036,0.423744,0.946348
28,1.50353,1.77122,1.41094,4.61513,4.88323,0.736789,0.00489863,0.477289,0.878988,0.772599,0.383575,0.422478,0.940096
29,1.51779,1.76595,1.39737,4.60715,4.88567,0.734448,0.00489132,0.477585,0.88368,0.778785,0.39604,0.434314,0.941912
30,1.50919,1.76597,1.38322,4.58199,4.86715,0.732107,0.00488376,0.464669,0.891623,0.77638,0.394309,0.432516,0.941169
31,1.50131,1.75218,1.38082,4.56036,4.83401,0.729766,0.00487595,0.477108,0.888626,0.785073,0.395437,0.4344,0.958169
32,1.4985,1.7342,1.3609,4.51274,4.80942,0.727425,0.00486789,0.48472,0.892186,0.788744,0.387123,0.427285,0.958381
33,1.49754,1.73878,1.37018,4.52601,4.81879,0.725084,0.00485959,0.470549,0.893472,0.777873,0.392284,0.430843,0.946157
34,1.48736,1.71007,1.36021,4.48035,4.75914,0.722742,0.00485104,0.478587,0.898618,0.788335,0.391046,0.430775,0.954532
35,1.48264,1.7048,1.36839,4.47621,4.76099,0.720401,0.00484225,0.494154,0.898288,0.798907,0.404763,0.444177,0.943452
36,1.48534,1.68907,1.3489,4.44259,4.72891,0.71806,0.00483322,0.493207,0.899746,0.794376,0.407254,0.445967,0.95402
37,1.48034,1.69476,1.35655,4.44961,4.73821,0.715719,0.00482394,0.491172,0.896725,0.795807,0.404534,0.443661,0.94763
38,1.48352,1.69437,1.34869,4.44563,4.72804,0.713378,0.00481442,0.493345,0.904023,0.799667,0.402048,0.44181,0.956599
39,1.48135,1.68021,1.33939,4.42264,4.69365,0.711037,0.00480467,0.494977,0.90084,0.805254,0.400489,0.440965,0.949452
40,1.47733,1.67978,1.3453,4.42303,4.69555,0.708696,0.00479467,0.506317,0.904265,0.808156,0.410941,0.450663,0.957671
41,1.47575,1.65856,1.33363,4.39083,4.65341,0.706355,0.00478444,0.502057,0.907668,0.81449,0.420842,0.460206,0.948157
42,1.46849,1.67113,1.3274,4.38975,4.6508,0.704013,0.00477396,0.508562,0.913561,0.823004,0.420813,0.461032,0.945633
43,1.46368,1.66757,1.31776,4.36979,4.63533,0.701672,0.00476326,0.49753,0.912874,0.814801,0.422186,0.461448,0.951722
44,1.46635,1.64641,1.31946,4.34587,4.63305,0.699331,0.00475232,0.503854,0.911755,0.817482,0.418052,0.457995,0.944195
45,1.46726,1.64088,1.31863,4.34104,4.624,0.69699,0.00474114,0.510806,0.912848,0.820909,0.420277,0.46034,0.953555
46,1.46103,1.63826,1.30884,4.32069,4.60705,0.694649,0.00472973,0.50605,0.911277,0.820915,0.423081,0.462864,0.936176
47,1.45992,1.62926,1.3162,4.32178,4.59351,0.692308,0.0047181,0.512631,0.917105,0.821646,0.424662,0.46436,0.944811
48,1.45967,1.62031,1.29312,4.2892,4.55983,0.689967,0.00470623,0.517371,0.915939,0.822646,0.426595,0.4662,0.935074
49,1.45854,1.62804,1.30194,4.30338,4.57596,0.687625,0.00469413,0.516663,0.917835,0.823293,0.425751,0.465505,0.94206
50,1.46335,1.63449,1.31113,4.32795,4.58538,0.685284,0.00468181,0.513528,0.91895,0.826648,0.430695,0.47029,1.03773
51,1.45529,1.61663,1.29886,4.28746,4.55025,0.682943,0.00466926,0.519681,0.921922,0.827148,0.428424,0.468297,0.968696
52,1.45711,1.61946,1.30366,4.29307,4.56599,0.680602,0.00465649,0.519385,0.92604,0.827486,0.429627,0.469413,0.95953
53,1.4544,1.60977,1.29104,4.26743,4.54022,0.678261,0.0046435,0.52843,0.928225,0.834444,0.430794,0.471159,0.952675
54,1.44867,1.60054,1.28398,4.24476,4.51761,0.67592,0.00463028,0.52806,0.924835,0.834262,0.433575,0.473644,0.949509
55,1.45029,1.59904,1.28271,4.24575,4.51009,0.673579,0.00461684,0.524713,0.923153,0.835008,0.431603,0.471944,0.936306
56,1.45548,1.59685,1.29523,4.26036,4.52561,0.671237,0.00460319,0.523762,0.926281,0.836528,0.436107,0.476149,0.938454
57,1.44841,1.58404,1.27253,4.21219,4.49242,0.668896,0.00458932,0.528,0.927958,0.840301,0.438988,0.47912,0.938721
58,1.44258,1.58617,1.27543,4.21647,4.47951,0.666555,0.00457523,0.52098,0.927356,0.841436,0.436942,0.477391,0.942967
59,1.44303,1.59113,1.2892,4.23513,4.4979,0.664214,0.00456093,0.525317,0.926723,0.841849,0.435453,0.476092,0.937046
60,1.44543,1.57137,1.26479,4.19506,4.45096,0.661873,0.00454642,0.526233,0.927479,0.841873,0.437353,0.477805,0.944322
