epoch,box_loss,cls_loss,l1_loss,dfl_loss,loss_o2m,loss_o2o,prog_alpha,lr,precision,recall,mAP50,mAP50_95,fitness,ms_per_image,epoch_seconds,train_seconds,val_seconds,elapsed_hours
1,3.61191,6.13377,7.96098,4.06115,21.1612,24.1943,0.8,0.00499987,0.333333,0,0.00167031,0.000382172,0.000510987,1.86216,142.863,123.601,19.2625,0.0396842
2,3.23662,5.69292,5.7154,3.81622,18.267,19.2265,0.797659,0.00499948,1,0,0.0150262,0.00434329,0.00541157,1.06335,119.691,102.289,17.4023,0.0733615
3,2.33019,4.50341,3.37136,3.0875,13.1939,13.6753,0.795318,0.00499883,0.349132,0.222695,0.210658,0.0886902,0.100887,1.07614,119.617,101.585,18.0318,0.106871
4,1.95111,3.44765,2.55915,2.31213,10.1741,10.6374,0.792977,0.00499792,0.266379,0.533221,0.325683,0.148132,0.165887,1.08254,119.425,101.556,17.8686,0.140366
5,1.81731,3.06033,2.31631,2.04484,9.16537,9.51604,0.790635,0.00499675,0.369301,0.500507,0.401346,0.187443,0.208834,1.07883,121.04,103.582,17.4577,0.174281
6,1.75513,2.78855,2.16604,1.91444,8.55207,8.89261,0.788294,0.00499531,0.358898,0.655975,0.465449,0.201142,0.227573,1.06738,118.547,101.214,17.3335,0.207513
7,1.71598,2.62188,2.07802,1.84314,8.19502,8.49402,0.785953,0.00499362,0.34019,0.716273,0.523687,0.240528,0.268844,0.965911,88.664,78.3324,10.3315,0.232464
8,1.67478,2.49207,1.98273,1.78971,7.86807,8.19719,0.783612,0.00499167,0.36169,0.743295,0.566044,0.266199,0.296184,0.98228,79.1514,68.8617,10.2897,0.254605
9,1.65149,2.42357,1.95401,1.76828,7.73584,8.01707,0.781271,0.00498946,0.41108,0.7463,0.587614,0.272563,0.304068,0.972301,82.4299,71.8356,10.5943,0.277659
10,1.62981,2.34703,1.89786,1.73481,7.54205,7.84716,0.77893,0.00498699,0.395538,0.770029,0.606827,0.286897,0.31889,0.97409,79.6154,69.2856,10.3299,0.299952
11,1.60294,2.26398,1.87281,1.71856,7.39032,7.69457,0.776589,0.00498426,0.43372,0.765628,0.615065,0.288524,0.321178,0.964567,81.7599,71.7353,10.0246,0.322835
12,1.59428,2.23491,1.87416,1.71695,7.35472,7.64523,0.774247,0.00498127,0.408034,0.786957,0.645003,0.308722,0.34235,0.978138,81.8098,71.4108,10.3991,0.345714
13,1.57388,2.17555,1.81662,1.68596,7.18336,7.48434,0.771906,0.00497803,0.411152,0.817863,0.661651,0.313224,0.348067,0.978189,79.3674,68.9367,10.4308,0.367913
14,1.56426,2.14025,1.81002,1.68274,7.1347,7.40623,0.769565,0.00497452,0.421827,0.810854,0.668189,0.313618,0.349075,0.971106,82.766,72.5767,10.1893,0.391077
15,1.55943,2.10383,1.78475,1.66792,7.04667,7.34424,0.767224,0.00497076,0.431491,0.827878,0.694652,0.32502,0.361984,0.974742,78.4081,68.0914,10.3167,0.413034
16,1.54449,2.08401,1.76199,1.657,6.97288,7.29022,0.764883,0.00496674,0.408573,0.835369,0.695887,0.333857,0.37006,1.07589,102.961,85.2932,17.6678,0.44179
17,1.5378,2.05638,1.75864,1.65333,6.93737,7.22702,0.762542,0.00496246,0.43416,0.831711,0.695999,0.339449,0.375104,0.974664,87.434,77.2545,10.1795,0.466386
18,1.5283,2.03783,1.74117,1.64496,6.88095,7.17832,0.760201,0.00495793,0.432806,0.838351,0.692592,0.334329,0.370155,0.985043,80.202,69.8116,10.3903,0.488835
19,1.52533,2.0132,1.72787,1.63769,6.83585,7.11763,0.75786,0.00495314,0.422942,0.835548,0.707865,0.342624,0.379148,0.972309,80.2857,69.801,10.4848,0.51128
20,1.51274,1.97177,1.69433,1.62014,6.7293,7.01432,0.755518,0.0049481,0.442241,0.85135,0.72313,0.346088,0.383792,0.975893,82.6079,72.3654,10.2425,0.534385
21,1.50991,1.96344,1.68478,1.61674,6.70503,6.988,0.753177,0.0049428,0.435966,0.846066,0.714618,0.34565,0.382546,0.981153,77.9437,67.9571,9.98658,0.556207
22,1.50115,1.94674,1.68209,1.61212,6.66533,6.97345,0.750836,0.00493725,0.430768,0.853125,0.717702,0.357156,0.393211,0.979196,80.0019,69.3924,10.6094,0.578578
