stem,split,cls,cls_name,w,h,area,ar,cx,cy,max_eye_w,source,vg
000001_jpg.rf.1ebaf589306e69967f1640ae414e577f,train,1,open_eye,0.773438,0.540625,0.41813991875,1.4306367630057801,0.485938,0.503125,0.773438,bare_numeric,24716
000001_jpg.rf.bc86be6e310885eda2b091ac1d57e99e,train,1,open_eye,0.089063,0.057031,0.005079351953,1.5616594483701847,0.385156,0.511719,0.102344,bare_numeric,2
000001_jpg.rf.bc86be6e310885eda2b091ac1d57e99e,train,1,open_eye,0.102344,0.040625,0.004157725,2.519236923076923,0.603125,0.527344,0.102344,bare_numeric,2
000002_jpg.rf.310e0dc7ef08ae614be325eb7a018a78,train,1,open_eye,0.114844,0.064062,0.007357136328,1.7927008210795794,0.386719,0.517188,0.153125,bare_numeric,4
000002_jpg.rf.310e0dc7ef08ae614be325eb7a018a78,train,1,open_eye,0.153125,0.058594,0.008972206250000002,2.6133221831586853,0.622656,0.516406,0.153125,bare_numeric,4
000003_jpg.rf.87cab7757f418d28472397a55f8c8918,train,1,open_eye,0.623437,0.45,0.28054665,1.3854155555555556,0.551562,0.515625,0.623437,bare_numeric,5
000003_jpg.rf.b102e5754c9484de6bec2ee83c6d3a34,train,1,open_eye,0.45,0.623437,0.28054665,0.7218050901694959,0.484375,0.551562,0.45,bare_numeric,6
000003_jpg.rf.bb844123aba8e06bb83a1de5055fdffe,train,1,open_eye,0.45,0.623437,0.28054665,0.7218050901694959,0.515625,0.448437,0.45,bare_numeric,24718
000005_jpg.rf.82a0f4c5066823006204b34ed289c733,train,1,open_eye,0.132031,0.059375,0.007839340625,2.2236800000000003,0.363281,0.534375,0.16875,bare_numeric,8
000005_jpg.rf.82a0f4c5066823006204b34ed289c733,train,1,open_eye,0.16875,0.061719,0.010415081250000001,2.734166140086521,0.672656,0.532813,0.16875,bare_numeric,8
000005_jpg.rf.82a0f4c5066823006204b34ed289c733,train,1,open_eye,0.132031,0.075781,0.010005441211,1.7422704899645032,0.641406,0.5125,0.16875,bare_numeric,8
000006_jpg.rf.d5f33af7ebb1ff5c7e673b5daf14622c,train,1,open_eye,0.126562,0.057813,0.007316928906000001,2.1891616072509645,0.392188,0.515625,0.126562,bare_numeric,9
000006_jpg.rf.d5f33af7ebb1ff5c7e673b5daf14622c,train,1,open_eye,0.117188,0.063281,0.007415773828000001,1.8518670691044705,0.608594,0.510156,0.126562,bare_numeric,9
000007_jpg.rf.b921d20b0b212e53244d56f44ec4aa1a,train,1,open_eye,0.11875,0.073438,0.0087207625,1.6170102671641382,0.364844,0.528906,0.167969,bare_numeric,10
000007_jpg.rf.b921d20b0b212e53244d56f44ec4aa1a,train,1,open_eye,0.167969,0.06875,0.01154786875,2.4431854545454543,0.616406,0.516406,0.167969,bare_numeric,10
000008_jpg.rf.6b72b0696deb7b5f3d6437a65c2b6c42,train,1,open_eye,0.078906,0.03125,0.0024658125,2.524992,0.594531,0.516406,0.078906,bare_numeric,11
000008_jpg.rf.6b72b0696deb7b5f3d6437a65c2b6c42,train,1,open_eye,0.075,0.025,0.001875,2.9999999999999996,0.404687,0.513281,0.078906,bare_numeric,11
000010_jpg.rf.30aa59afc4fadd4fb1b7ac1229a80c2d,train,1,open_eye,0.29375,0.395313,0.11612319375,0.7430820640859268,0.665625,0.591406,0.29375,bare_numeric,13
000010_jpg.rf.528d3e5137e16454fc708097a946936d,train,1,open_eye,0.29375,0.395313,0.11612319375,0.7430820640859268,0.665625,0.591406,0.29375,bare_numeric,13
000010_jpg.rf.f19ade62f928e62866edd63df0d6aa0f,train,1,open_eye,0.395313,0.29375,0.11612319375,1.3457463829787235,0.408594,0.665625,0.395313,bare_numeric,24719
000011_jpg.rf.05aec8d8d1d083e46950d21154c08510,train,1,open_eye,0.132031,0.053125,0.007014146875,2.485289411764706,0.372656,0.510938,0.132031,bare_numeric,15
000011_jpg.rf.05aec8d8d1d083e46950d21154c08510,train,1,open_eye,0.125781,0.041406,0.005208088086,3.0377481524416754,0.6125,0.521875,0.132031,bare_numeric,15
000012_jpg.rf.71a05f13ad9afd6272d2020e2886da79,train,1,open_eye,0.167969,0.036719,0.0061676537110000006,4.574443748468095,0.638281,0.525781,0.184375,bare_numeric,16
000012_jpg.rf.71a05f13ad9afd6272d2020e2886da79,train,1,open_eye,0.184375,0.06875,0.012675781250000002,2.6818181818181817,0.373437,0.526563,0.184375,bare_numeric,16
