image_id,source_dataset,original_path,final_path,subject_id,video_id,session_id,split,visual_group_id,class_count,classes_present,n_closed,n_open,n_yawn,image_width,image_height,max_eye_box_width,quality_status,duplicate_status,annotation_status,lighting_condition,gray_flag,brightness,blur_var,blur_status,glasses_status,reason_code,reason
000001_jpg.rf.bc86be6e310885eda2b091ac1d57e99e,bare_numeric,C:\mini_yolo\dataset\images\train\000001_jpg.rf.bc86be6e310885eda2b091ac1d57e99e.jpg,C:\mini_yolo\dataset_final_v1\images\train\000001_jpg.rf.bc86be6e310885eda2b091ac1d57e99e.jpg,unknown,unknown,unknown,train,2,2,open_eye,0,2,0,640,640,0.1023,ok,unique,eye_scale,normal_daylight,rgb,146.86,594.26,sharp,unknown,A,eye boxes at eye scale; deployment-relevant framing
000002_jpg.rf.310e0dc7ef08ae614be325eb7a018a78,bare_numeric,C:\mini_yolo\dataset\images\train\000002_jpg.rf.310e0dc7ef08ae614be325eb7a018a78.jpg,C:\mini_yolo\dataset_final_v1\images\train\000002_jpg.rf.310e0dc7ef08ae614be325eb7a018a78.jpg,unknown,unknown,unknown,train,4,2,open_eye,0,2,0,640,640,0.1531,ok,unique,eye_scale,normal_daylight,rgb,117.61,99.87,sharp,unknown,A,eye boxes at eye scale; deployment-relevant framing
000005_jpg.rf.82a0f4c5066823006204b34ed289c733,bare_numeric,C:\mini_yolo\dataset\images\train\000005_jpg.rf.82a0f4c5066823006204b34ed289c733.jpg,C:\mini_yolo\dataset_final_v1\images\train\000005_jpg.rf.82a0f4c5066823006204b34ed289c733.jpg,unknown,unknown,unknown,train,8,3,open_eye,0,3,0,640,640,0.1688,ok,unique,eye_scale,normal_daylight,rgb,159.69,65.91,sharp,unknown,A,eye boxes at eye scale; deployment-relevant framing
000006_jpg.rf.d5f33af7ebb1ff5c7e673b5daf14622c,bare_numeric,C:\mini_yolo\dataset\images\train\000006_jpg.rf.d5f33af7ebb1ff5c7e673b5daf14622c.jpg,C:\mini_yolo\dataset_final_v1\images\train\000006_jpg.rf.d5f33af7ebb1ff5c7e673b5daf14622c.jpg,unknown,unknown,unknown,train,9,2,open_eye,0,2,0,640,640,0.1266,ok,unique,eye_scale,normal_daylight,rgb,148.62,149.27,sharp,unknown,A,eye boxes at eye scale; deployment-relevant framing
000007_jpg.rf.b921d20b0b212e53244d56f44ec4aa1a,bare_numeric,C:\mini_yolo\dataset\images\train\000007_jpg.rf.b921d20b0b212e53244d56f44ec4aa1a.jpg,C:\mini_yolo\dataset_final_v1\images\train\000007_jpg.rf.b921d20b0b212e53244d56f44ec4aa1a.jpg,unknown,unknown,unknown,train,10,2,open_eye,0,2,0,640,640,0.168,ok,unique,eye_scale,normal_daylight,rgb,157.53,191.08,sharp,unknown,A,eye boxes at eye scale; deployment-relevant framing
000008_jpg.rf.6b72b0696deb7b5f3d6437a65c2b6c42,bare_numeric,C:\mini_yolo\dataset\images\train\000008_jpg.rf.6b72b0696deb7b5f3d6437a65c2b6c42.jpg,C:\mini_yolo\dataset_final_v1\images\train\000008_jpg.rf.6b72b0696deb7b5f3d6437a65c2b6c42.jpg,unknown,unknown,unknown,train,11,2,open_eye,0,2,0,640,640,0.0789,ok,unique,eye_scale,low_light,rgb,87.18,183.36,sharp,unknown,A,eye boxes at eye scale; deployment-relevant framing
000010_jpg.rf.30aa59afc4fadd4fb1b7ac1229a80c2d,bare_numeric,C:\mini_yolo\dataset\images\train\000010_jpg.rf.30aa59afc4fadd4fb1b7ac1229a80c2d.jpg,C:\mini_yolo\dataset_final_v1\images\train\000010_jpg.rf.30aa59afc4fadd4fb1b7ac1229a80c2d.jpg,unknown,unknown,unknown,train,13,1,open_eye,0,1,0,640,640,0.2938,ok,intra_split_near_duplicate,eye_scale,low_light,rgb,91.73,13711.69,sharp,unknown,A,eye boxes at eye scale; deployment-relevant framing
000010_jpg.rf.528d3e5137e16454fc708097a946936d,bare_numeric,C:\mini_yolo\dataset\images\train\000010_jpg.rf.528d3e5137e16454fc708097a946936d.jpg,C:\mini_yolo\dataset_final_v1\images\train\000010_jpg.rf.528d3e5137e16454fc708097a946936d.jpg,unknown,unknown,unknown,train,13,1,open_eye,0,1,0,640,640,0.2938,ok,intra_split_near_duplicate,eye_scale,low_light,rgb,91.69,13808.55,sharp,unknown,A,eye boxes at eye scale; deployment-relevant framing
000010_jpg.rf.f19ade62f928e62866edd63df0d6aa0f,bare_numeric,C:\mini_yolo\dataset\images\train\000010_jpg.rf.f19ade62f928e62866edd63df0d6aa0f.jpg,C:\mini_yolo\dataset_final_v1\images\train\000010_jpg.rf.f19ade62f928e62866edd63df0d6aa0f.jpg,unknown,unknown,unknown,train,24719,1,open_eye,0,1,0,640,640,0.3953,ok,unique,eye_scale,low_light,rgb,90.55,427.41,sharp,unknown,A,eye boxes at eye scale; deployment-relevant framing
000011_jpg.rf.05aec8d8d1d083e46950d21154c08510,bare_numeric,C:\mini_yolo\dataset\images\train\000011_jpg.rf.05aec8d8d1d083e46950d21154c08510.jpg,C:\mini_yolo\dataset_final_v1\images\train\000011_jpg.rf.05aec8d8d1d083e46950d21154c08510.jpg,unknown,unknown,unknown,train,15,2,open_eye,0,2,0,640,640,0.132,ok,unique,eye_scale,normal_daylight,rgb,113.18,38.76,sharp,unknown,A,eye boxes at eye scale; deployment-relevant framing
000012_jpg.rf.71a05f13ad9afd6272d2020e2886da79,bare_numeric,C:\mini_yolo\dataset\images\train\000012_jpg.rf.71a05f13ad9afd6272d2020e2886da79.jpg,C:\mini_yolo\dataset_final_v1\images\train\000012_jpg.rf.71a05f13ad9afd6272d2020e2886da79.jpg,unknown,unknown,unknown,train,16,2,open_eye,0,2,0,640,640,0.1844,ok,unique,eye_scale,low_light,rgb,68.5,57.14,sharp,unknown,A,eye boxes at eye scale; deployment-relevant framing
000013_jpg.rf.3045ce9e170d84ce5fc53a1b15b4020d,bare_numeric,C:\mini_yolo\dataset\images\train\000013_jpg.rf.3045ce9e170d84ce5fc53a1b15b4020d.jpg,C:\mini_yolo\dataset_final_v1\images\train\000013_jpg.rf.3045ce9e170d84ce5fc53a1b15b4020d.jpg,unknown,unknown,unknown,train,20,2,open_eye,0,2,0,640,640,0.1453,ok,unique,eye_scale,normal_daylight,rgb,114.49,150.06,sharp,unknown,A,eye boxes at eye scale; deployment-relevant framing
000013_jpg.rf.d89e2839b0edecbb95aba6509ad6adbf,bare_numeric,C:\mini_yolo\dataset\images\train\000013_jpg.rf.d89e2839b0edecbb95aba6509ad6adbf.jpg,C:\mini_yolo\dataset_final_v1\images\train\000013_jpg.rf.d89e2839b0edecbb95aba6509ad6adbf.jpg,unknown,unknown,unknown,train,22,1,open_eye,0,1,0,640,640,0.3625,ok,unique,eye_scale,bright_or_backlit,grayscale_or_ir,198.92,15417.18,sharp,unknown,A,eye boxes at eye scale; deployment-relevant framing
000013_jpg.rf.ef92773e8e49202b542df26a61a18f89,bare_numeric,C:\mini_yolo\dataset\images\train\000013_jpg.rf.ef92773e8e49202b542df26a61a18f89.jpg,C:\mini_yolo\dataset_final_v1\images\train\000013_jpg.rf.ef92773e8e49202b542df26a61a18f89.jpg,unknown,unknown,unknown,train,23,1,open_eye,0,1,0,640,640,0.3625,ok,unique,eye_scale,bright_or_backlit,grayscale_or_ir,197.27,25358.03,sharp,unknown,A,eye boxes at eye scale; deployment-relevant framing
000014_jpg.rf.eb0b1273901a97866605698ab52f03fb,bare_numeric,C:\mini_yolo\dataset\images\train\000014_jpg.rf.eb0b1273901a97866605698ab52f03fb.jpg,C:\mini_yolo\dataset_final_v1\images\train\000014_jpg.rf.eb0b1273901a97866605698ab52f03fb.jpg,unknown,unknown,unknown,train,26,1,open_eye,0,1,0,640,640,0.3984,ok,unique,eye_scale,normal_daylight,rgb,170.14,14469.85,sharp,unknown,A,eye boxes at eye scale; deployment-relevant framing
000016_jpg.rf.44a3ea33073e5c87d483ecbbf1150760,bare_numeric,C:\mini_yolo\dataset\images\train\000016_jpg.rf.44a3ea33073e5c87d483ecbbf1150760.jpg,C:\mini_yolo\dataset_final_v1\images\train\000016_jpg.rf.44a3ea33073e5c87d483ecbbf1150760.jpg,unknown,unknown,unknown,train,27,1,open_eye,0,1,0,640,640,0.2172,ok,unique,eye_scale,normal_daylight,rgb,144.95,7243.46,sharp,unknown,A,eye boxes at eye scale; deployment-relevant framing
000016_jpg.rf.683dd5e6de9fad6d87cbd1703c6a93df,bare_numeric,C:\mini_yolo\dataset\images\train\000016_jpg.rf.683dd5e6de9fad6d87cbd1703c6a93df.jpg,C:\mini_yolo\dataset_final_v1\images\train\000016_jpg.rf.683dd5e6de9fad6d87cbd1703c6a93df.jpg,unknown,unknown,unknown,train,28,2,open_eye,0,2,0,640,640,0.1062,ok,unique,eye_scale,night_or_very_low_light,rgb,58.92,53.64,sharp,unknown,A,eye boxes at eye scale; deployment-relevant framing
000016_jpg.rf.b125057c9e042e2ff2b5b4224c06e14f,bare_numeric,C:\mini_yolo\dataset\images\train\000016_jpg.rf.b125057c9e042e2ff2b5b4224c06e14f.jpg,C:\mini_yolo\dataset_final_v1\images\train\000016_jpg.rf.b125057c9e042e2ff2b5b4224c06e14f.jpg,unknown,unknown,unknown,train,29,1,open_eye,0,1,0,640,640,0.2172,ok,unique,eye_scale,normal_daylight,rgb,145.0,9289.32,sharp,unknown,A,eye boxes at eye scale; deployment-relevant framing
000016_jpg.rf.e3d92b73dd3e8dd33f43790841cf9fa1,bare_numeric,C:\mini_yolo\dataset\images\train\000016_jpg.rf.e3d92b73dd3e8dd33f43790841cf9fa1.jpg,C:\mini_yolo\dataset_final_v1\images\train\000016_jpg.rf.e3d92b73dd3e8dd33f43790841cf9fa1.jpg,unknown,unknown,unknown,train,30,1,open_eye,0,1,0,640,640,0.35,ok,unique,eye_scale,normal_daylight,rgb,145.51,182.7,sharp,unknown,A,eye boxes at eye scale; deployment-relevant framing
000017_jpg.rf.89c3634c07faa51f810f91fc67bdf5ce,bare_numeric,C:\mini_yolo\dataset\images\train\000017_jpg.rf.89c3634c07faa51f810f91fc67bdf5ce.jpg,C:\mini_yolo\dataset_final_v1\images\train\000017_jpg.rf.89c3634c07faa51f810f91fc67bdf5ce.jpg,unknown,unknown,unknown,train,31,2,open_eye,0,2,0,640,640,0.1555,ok,unique,eye_scale,normal_daylight,rgb,157.14,47.1,sharp,unknown,A,eye boxes at eye scale; deployment-relevant framing
