original_path,new_path,split,source,class_ids,keep_or_remove,reason_code,confidence,visual_group_id,session_id
C:\ssd projects\nano big\data\Dataset-Main\images\train\000001_jpg.rf.1ebaf589306e69967f1640ae414e577f.jpg,C:\ssd projects\nano big\data\Dataset-Curated\images\train\000001_jpg.rf.1ebaf589306e69967f1640ae414e577f.jpg,train,bare_numeric,1,KEEP,NEARDUP_CLUSTER_REPRESENTATIVE,HIGH,24716,
C:\ssd projects\nano big\data\Dataset-Main\images\train\000001_jpg.rf.6339490bb30fc4da67c309a8ad088bd2.jpg,,train,bare_numeric,1,REMOVE,DUPLICATE_NEAR,HIGH,24716,
C:\ssd projects\nano big\data\Dataset-Main\images\train\000001_jpg.rf.bc86be6e310885eda2b091ac1d57e99e.jpg,C:\ssd projects\nano big\data\Dataset-Curated\images\train\000001_jpg.rf.bc86be6e310885eda2b091ac1d57e99e.jpg,train,bare_numeric,1,KEEP,UNIQUE,HIGH,2,
C:\ssd projects\nano big\data\Dataset-Main\images\train\000001_jpg.rf.f58c58acb733b21730a08a8e54da81a4.jpg,,train,bare_numeric,1,REMOVE,DUPLICATE_NEAR,HIGH,24716,
C:\ssd projects\nano big\data\Dataset-Main\images\train\000002_jpg.rf.310e0dc7ef08ae614be325eb7a018a78.jpg,C:\ssd projects\nano big\data\Dataset-Curated\images\train\000002_jpg.rf.310e0dc7ef08ae614be325eb7a018a78.jpg,train,bare_numeric,1,KEEP,UNIQUE,HIGH,4,
C:\ssd projects\nano big\data\Dataset-Main\images\train\000003_jpg.rf.87cab7757f418d28472397a55f8c8918.jpg,C:\ssd projects\nano big\data\Dataset-Curated\images\train\000003_jpg.rf.87cab7757f418d28472397a55f8c8918.jpg,train,bare_numeric,1,KEEP,UNIQUE,HIGH,5,
C:\ssd projects\nano big\data\Dataset-Main\images\train\000003_jpg.rf.b102e5754c9484de6bec2ee83c6d3a34.jpg,C:\ssd projects\nano big\data\Dataset-Curated\images\train\000003_jpg.rf.b102e5754c9484de6bec2ee83c6d3a34.jpg,train,bare_numeric,1,KEEP,UNIQUE,HIGH,6,
C:\ssd projects\nano big\data\Dataset-Main\images\train\000003_jpg.rf.bb844123aba8e06bb83a1de5055fdffe.jpg,C:\ssd projects\nano big\data\Dataset-Curated\images\train\000003_jpg.rf.bb844123aba8e06bb83a1de5055fdffe.jpg,train,bare_numeric,1,KEEP,NEARDUP_CLUSTER_REPRESENTATIVE,HIGH,24718,
C:\ssd projects\nano big\data\Dataset-Main\images\train\000005_jpg.rf.82a0f4c5066823006204b34ed289c733.jpg,C:\ssd projects\nano big\data\Dataset-Curated\images\train\000005_jpg.rf.82a0f4c5066823006204b34ed289c733.jpg,train,bare_numeric,1,KEEP,UNIQUE,HIGH,8,
C:\ssd projects\nano big\data\Dataset-Main\images\train\000006_jpg.rf.d5f33af7ebb1ff5c7e673b5daf14622c.jpg,C:\ssd projects\nano big\data\Dataset-Curated\images\train\000006_jpg.rf.d5f33af7ebb1ff5c7e673b5daf14622c.jpg,train,bare_numeric,1,KEEP,UNIQUE,HIGH,9,
C:\ssd projects\nano big\data\Dataset-Main\images\train\000007_jpg.rf.b921d20b0b212e53244d56f44ec4aa1a.jpg,C:\ssd projects\nano big\data\Dataset-Curated\images\train\000007_jpg.rf.b921d20b0b212e53244d56f44ec4aa1a.jpg,train,bare_numeric,1,KEEP,UNIQUE,HIGH,10,
C:\ssd projects\nano big\data\Dataset-Main\images\train\000008_jpg.rf.6b72b0696deb7b5f3d6437a65c2b6c42.jpg,C:\ssd projects\nano big\data\Dataset-Curated\images\train\000008_jpg.rf.6b72b0696deb7b5f3d6437a65c2b6c42.jpg,train,bare_numeric,1,KEEP,UNIQUE,HIGH,11,
C:\ssd projects\nano big\data\Dataset-Main\images\train\000010_jpg.rf.30aa59afc4fadd4fb1b7ac1229a80c2d.jpg,C:\ssd projects\nano big\data\Dataset-Curated\images\train\000010_jpg.rf.30aa59afc4fadd4fb1b7ac1229a80c2d.jpg,train,bare_numeric,1,KEEP,NEARDUP_SMALL_CLUSTER_KEPT,MEDIUM,13,
C:\ssd projects\nano big\data\Dataset-Main\images\train\000010_jpg.rf.528d3e5137e16454fc708097a946936d.jpg,C:\ssd projects\nano big\data\Dataset-Curated\images\train\000010_jpg.rf.528d3e5137e16454fc708097a946936d.jpg,train,bare_numeric,1,KEEP,NEARDUP_SMALL_CLUSTER_KEPT,MEDIUM,13,
C:\ssd projects\nano big\data\Dataset-Main\images\train\000010_jpg.rf.f19ade62f928e62866edd63df0d6aa0f.jpg,C:\ssd projects\nano big\data\Dataset-Curated\images\train\000010_jpg.rf.f19ade62f928e62866edd63df0d6aa0f.jpg,train,bare_numeric,1,KEEP,NEARDUP_CLUSTER_REPRESENTATIVE,HIGH,24719,
C:\ssd projects\nano big\data\Dataset-Main\images\train\000011_jpg.rf.05aec8d8d1d083e46950d21154c08510.jpg,C:\ssd projects\nano big\data\Dataset-Curated\images\train\000011_jpg.rf.05aec8d8d1d083e46950d21154c08510.jpg,train,bare_numeric,1,KEEP,UNIQUE,HIGH,15,
C:\ssd projects\nano big\data\Dataset-Main\images\train\000012_jpg.rf.71a05f13ad9afd6272d2020e2886da79.jpg,C:\ssd projects\nano big\data\Dataset-Curated\images\train\000012_jpg.rf.71a05f13ad9afd6272d2020e2886da79.jpg,train,bare_numeric,1,KEEP,UNIQUE,HIGH,16,
C:\ssd projects\nano big\data\Dataset-Main\images\train\000012_png_jpg.rf.3f24d2c38acece78dd5263c4df5b3a96.jpg,C:\ssd projects\nano big\data\Dataset-Curated\images\train\000012_png_jpg.rf.3f24d2c38acece78dd5263c4df5b3a96.jpg,train,unmatched,1,KEEP,NEARDUP_CLUSTER_REPRESENTATIVE,HIGH,18,
C:\ssd projects\nano big\data\Dataset-Main\images\train\000012_png_jpg.rf.4b503fd9d26de4e44dbdba21c516b4a4.jpg,,train,unmatched,1,REMOVE,DUPLICATE_NEAR,HIGH,18,
C:\ssd projects\nano big\data\Dataset-Main\images\train\000012_png_jpg.rf.c955b931f0139c34a941a143d44ed3b0.jpg,,train,unmatched,1,REMOVE,DUPLICATE_NEAR,HIGH,18,
C:\ssd projects\nano big\data\Dataset-Main\images\train\000013_jpg.rf.3045ce9e170d84ce5fc53a1b15b4020d.jpg,C:\ssd projects\nano big\data\Dataset-Curated\images\train\000013_jpg.rf.3045ce9e170d84ce5fc53a1b15b4020d.jpg,train,bare_numeric,1,KEEP,UNIQUE,HIGH,20,
C:\ssd projects\nano big\data\Dataset-Main\images\train\000013_jpg.rf.8f21fa99ea42e2d1aafe281932a79066.jpg,C:\ssd projects\nano big\data\Dataset-Curated\images\train\000013_jpg.rf.8f21fa99ea42e2d1aafe281932a79066.jpg,train,bare_numeric,1,KEEP,UNIQUE,HIGH,21,
C:\ssd projects\nano big\data\Dataset-Main\images\train\000013_jpg.rf.d89e2839b0edecbb95aba6509ad6adbf.jpg,C:\ssd projects\nano big\data\Dataset-Curated\images\train\000013_jpg.rf.d89e2839b0edecbb95aba6509ad6adbf.jpg,train,bare_numeric,1,KEEP,UNIQUE,HIGH,22,
C:\ssd projects\nano big\data\Dataset-Main\images\train\000013_jpg.rf.ef92773e8e49202b542df26a61a18f89.jpg,C:\ssd projects\nano big\data\Dataset-Curated\images\train\000013_jpg.rf.ef92773e8e49202b542df26a61a18f89.jpg,train,bare_numeric,1,KEEP,UNIQUE,HIGH,23,
C:\ssd projects\nano big\data\Dataset-Main\images\train\000014_jpg.rf.90cac0474a01df50ea528681d4894087.jpg,C:\ssd projects\nano big\data\Dataset-Curated\images\train\000014_jpg.rf.90cac0474a01df50ea528681d4894087.jpg,train,bare_numeric,1,KEEP,NEARDUP_SMALL_CLUSTER_KEPT,MEDIUM,25,
C:\ssd projects\nano big\data\Dataset-Main\images\train\000014_jpg.rf.dd762d08caddf2b5f267c52bec1c1bd4.jpg,C:\ssd projects\nano big\data\Dataset-Curated\images\train\000014_jpg.rf.dd762d08caddf2b5f267c52bec1c1bd4.jpg,train,bare_numeric,1,KEEP,NEARDUP_SMALL_CLUSTER_KEPT,MEDIUM,25,
C:\ssd projects\nano big\data\Dataset-Main\images\train\000014_jpg.rf.eb0b1273901a97866605698ab52f03fb.jpg,C:\ssd projects\nano big\data\Dataset-Curated\images\train\000014_jpg.rf.eb0b1273901a97866605698ab52f03fb.jpg,train,bare_numeric,1,KEEP,UNIQUE,HIGH,26,
C:\ssd projects\nano big\data\Dataset-Main\images\train\000016_jpg.rf.44a3ea33073e5c87d483ecbbf1150760.jpg,C:\ssd projects\nano big\data\Dataset-Curated\images\train\000016_jpg.rf.44a3ea33073e5c87d483ecbbf1150760.jpg,train,bare_numeric,1,KEEP,UNIQUE,HIGH,27,
C:\ssd projects\nano big\data\Dataset-Main\images\train\000016_jpg.rf.683dd5e6de9fad6d87cbd1703c6a93df.jpg,C:\ssd projects\nano big\data\Dataset-Curated\images\train\000016_jpg.rf.683dd5e6de9fad6d87cbd1703c6a93df.jpg,train,bare_numeric,1,KEEP,UNIQUE,HIGH,28,
C:\ssd projects\nano big\data\Dataset-Main\images\train\000016_jpg.rf.b125057c9e042e2ff2b5b4224c06e14f.jpg,C:\ssd projects\nano big\data\Dataset-Curated\images\train\000016_jpg.rf.b125057c9e042e2ff2b5b4224c06e14f.jpg,train,bare_numeric,1,KEEP,UNIQUE,HIGH,29,
C:\ssd projects\nano big\data\Dataset-Main\images\train\000016_jpg.rf.e3d92b73dd3e8dd33f43790841cf9fa1.jpg,C:\ssd projects\nano big\data\Dataset-Curated\images\train\000016_jpg.rf.e3d92b73dd3e8dd33f43790841cf9fa1.jpg,train,bare_numeric,1,KEEP,UNIQUE,HIGH,30,
C:\ssd projects\nano big\data\Dataset-Main\images\train\000017_jpg.rf.89c3634c07faa51f810f91fc67bdf5ce.jpg,C:\ssd projects\nano big\data\Dataset-Curated\images\train\000017_jpg.rf.89c3634c07faa51f810f91fc67bdf5ce.jpg,train,bare_numeric,1,KEEP,UNIQUE,HIGH,31,
C:\ssd projects\nano big\data\Dataset-Main\images\train\000018_jpg.rf.197158e510dd33f57aa307d98774d901.jpg,C:\ssd projects\nano big\data\Dataset-Curated\images\train\000018_jpg.rf.197158e510dd33f57aa307d98774d901.jpg,train,bare_numeric,1,KEEP,UNIQUE,HIGH,32,
C:\ssd projects\nano big\data\Dataset-Main\images\train\000018_jpg.rf.274076e48b46b538e52851b4073263bd.jpg,C:\ssd projects\nano big\data\Dataset-Curated\images\train\000018_jpg.rf.274076e48b46b538e52851b4073263bd.jpg,train,bare_numeric,1,KEEP,NEARDUP_SMALL_CLUSTER_KEPT,MEDIUM,34,
C:\ssd projects\nano big\data\Dataset-Main\images\train\000018_jpg.rf.7215df7df25bd66bdd766119ce7e85f2.jpg,C:\ssd projects\nano big\data\Dataset-Curated\images\train\000018_jpg.rf.7215df7df25bd66bdd766119ce7e85f2.jpg,train,bare_numeric,1,KEEP,NEARDUP_SMALL_CLUSTER_KEPT,MEDIUM,34,
C:\ssd projects\nano big\data\Dataset-Main\images\train\000018_jpg.rf.84865b5ef2d7a2e44e752efc024dcf04.jpg,C:\ssd projects\nano big\data\Dataset-Curated\images\train\000018_jpg.rf.84865b5ef2d7a2e44e752efc024dcf04.jpg,train,bare_numeric,1,KEEP,UNIQUE,HIGH,35,
C:\ssd projects\nano big\data\Dataset-Main\images\train\000019_jpg.rf.09282f9cf78d03549db64109b7227e11.jpg,C:\ssd projects\nano big\data\Dataset-Curated\images\train\000019_jpg.rf.09282f9cf78d03549db64109b7227e11.jpg,train,bare_numeric,1,KEEP,UNIQUE,HIGH,36,
C:\ssd projects\nano big\data\Dataset-Main\images\train\000019_jpg.rf.a9dbd88ec42b22168c692062a02048ab.jpg,C:\ssd projects\nano big\data\Dataset-Curated\images\train\000019_jpg.rf.a9dbd88ec42b22168c692062a02048ab.jpg,train,bare_numeric,1,KEEP,NEARDUP_CLUSTER_REPRESENTATIVE,HIGH,39,
