image_id,source_dataset,original_path,subject_id,video_id,session_id,split,visual_group_id,class_count,classes_present,n_closed,n_open,n_yawn,image_width,image_height,max_eye_box_width,quality_status,annotation_status,lighting_condition,gray_flag,brightness,blur_var,blur_status,glasses_status,reason_code,reason,decision
000001_jpg.rf.1ebaf589306e69967f1640ae414e577f,bare_numeric,C:\mini_yolo\dataset\images\train\000001_jpg.rf.1ebaf589306e69967f1640ae414e577f.jpg,unknown,unknown,unknown,train,24716,1,open_eye,0,1,0,640,640,0.7734,ok,over_tau,normal_daylight,rgb,103.07,475.96,unknown,unknown,C,eye box wider than tau: eye close-up crop or face-scale mislabel; ambiguous and not deployment-relevant,REMOVE
000001_jpg.rf.bc86be6e310885eda2b091ac1d57e99e,bare_numeric,C:\mini_yolo\dataset\images\train\000001_jpg.rf.bc86be6e310885eda2b091ac1d57e99e.jpg,unknown,unknown,unknown,train,2,2,open_eye,0,2,0,640,640,0.1023,ok,eye_scale,normal_daylight,rgb,146.86,594.26,unknown,unknown,A,eye boxes at eye scale; deployment-relevant framing,KEEP
000002_jpg.rf.310e0dc7ef08ae614be325eb7a018a78,bare_numeric,C:\mini_yolo\dataset\images\train\000002_jpg.rf.310e0dc7ef08ae614be325eb7a018a78.jpg,unknown,unknown,unknown,train,4,2,open_eye,0,2,0,640,640,0.1531,ok,eye_scale,normal_daylight,rgb,117.61,99.87,unknown,unknown,A,eye boxes at eye scale; deployment-relevant framing,KEEP
000003_jpg.rf.87cab7757f418d28472397a55f8c8918,bare_numeric,C:\mini_yolo\dataset\images\train\000003_jpg.rf.87cab7757f418d28472397a55f8c8918.jpg,unknown,unknown,unknown,train,5,1,open_eye,0,1,0,640,640,0.6234,ok,over_tau,normal_daylight,rgb,133.87,388.92,unknown,unknown,C,eye box wider than tau: eye close-up crop or face-scale mislabel; ambiguous and not deployment-relevant,REMOVE
000003_jpg.rf.b102e5754c9484de6bec2ee83c6d3a34,bare_numeric,C:\mini_yolo\dataset\images\train\000003_jpg.rf.b102e5754c9484de6bec2ee83c6d3a34.jpg,unknown,unknown,unknown,train,6,1,open_eye,0,1,0,640,640,0.45,ok,over_tau,normal_daylight,rgb,133.43,19905.11,unknown,unknown,C,eye box wider than tau: eye close-up crop or face-scale mislabel; ambiguous and not deployment-relevant,REMOVE
000003_jpg.rf.bb844123aba8e06bb83a1de5055fdffe,bare_numeric,C:\mini_yolo\dataset\images\train\000003_jpg.rf.bb844123aba8e06bb83a1de5055fdffe.jpg,unknown,unknown,unknown,train,24718,1,open_eye,0,1,0,640,640,0.45,ok,over_tau,normal_daylight,rgb,133.55,7096.84,unknown,unknown,C,eye box wider than tau: eye close-up crop or face-scale mislabel; ambiguous and not deployment-relevant,REMOVE
000005_jpg.rf.82a0f4c5066823006204b34ed289c733,bare_numeric,C:\mini_yolo\dataset\images\train\000005_jpg.rf.82a0f4c5066823006204b34ed289c733.jpg,unknown,unknown,unknown,train,8,3,open_eye,0,3,0,640,640,0.1688,ok,eye_scale,normal_daylight,rgb,159.69,65.91,unknown,unknown,A,eye boxes at eye scale; deployment-relevant framing,KEEP
000006_jpg.rf.d5f33af7ebb1ff5c7e673b5daf14622c,bare_numeric,C:\mini_yolo\dataset\images\train\000006_jpg.rf.d5f33af7ebb1ff5c7e673b5daf14622c.jpg,unknown,unknown,unknown,train,9,2,open_eye,0,2,0,640,640,0.1266,ok,eye_scale,normal_daylight,rgb,148.62,149.27,unknown,unknown,A,eye boxes at eye scale; deployment-relevant framing,KEEP
000007_jpg.rf.b921d20b0b212e53244d56f44ec4aa1a,bare_numeric,C:\mini_yolo\dataset\images\train\000007_jpg.rf.b921d20b0b212e53244d56f44ec4aa1a.jpg,unknown,unknown,unknown,train,10,2,open_eye,0,2,0,640,640,0.168,ok,eye_scale,normal_daylight,rgb,157.53,191.08,unknown,unknown,A,eye boxes at eye scale; deployment-relevant framing,KEEP
000008_jpg.rf.6b72b0696deb7b5f3d6437a65c2b6c42,bare_numeric,C:\mini_yolo\dataset\images\train\000008_jpg.rf.6b72b0696deb7b5f3d6437a65c2b6c42.jpg,unknown,unknown,unknown,train,11,2,open_eye,0,2,0,640,640,0.0789,ok,eye_scale,low_light,rgb,87.18,183.36,unknown,unknown,A,eye boxes at eye scale; deployment-relevant framing,KEEP
000010_jpg.rf.30aa59afc4fadd4fb1b7ac1229a80c2d,bare_numeric,C:\mini_yolo\dataset\images\train\000010_jpg.rf.30aa59afc4fadd4fb1b7ac1229a80c2d.jpg,unknown,unknown,unknown,train,13,1,open_eye,0,1,0,640,640,0.2938,ok,eye_scale,low_light,rgb,91.73,13711.69,unknown,unknown,A,eye boxes at eye scale; deployment-relevant framing,KEEP
000010_jpg.rf.528d3e5137e16454fc708097a946936d,bare_numeric,C:\mini_yolo\dataset\images\train\000010_jpg.rf.528d3e5137e16454fc708097a946936d.jpg,unknown,unknown,unknown,train,13,1,open_eye,0,1,0,640,640,0.2938,ok,eye_scale,low_light,rgb,91.69,13808.55,unknown,unknown,A,eye boxes at eye scale; deployment-relevant framing,KEEP
000010_jpg.rf.f19ade62f928e62866edd63df0d6aa0f,bare_numeric,C:\mini_yolo\dataset\images\train\000010_jpg.rf.f19ade62f928e62866edd63df0d6aa0f.jpg,unknown,unknown,unknown,train,24719,1,open_eye,0,1,0,640,640,0.3953,ok,eye_scale,low_light,rgb,90.55,427.41,unknown,unknown,A,eye boxes at eye scale; deployment-relevant framing,KEEP
000011_jpg.rf.05aec8d8d1d083e46950d21154c08510,bare_numeric,C:\mini_yolo\dataset\images\train\000011_jpg.rf.05aec8d8d1d083e46950d21154c08510.jpg,unknown,unknown,unknown,train,15,2,open_eye,0,2,0,640,640,0.132,ok,eye_scale,normal_daylight,rgb,113.18,38.76,unknown,unknown,A,eye boxes at eye scale; deployment-relevant framing,KEEP
000012_jpg.rf.71a05f13ad9afd6272d2020e2886da79,bare_numeric,C:\mini_yolo\dataset\images\train\000012_jpg.rf.71a05f13ad9afd6272d2020e2886da79.jpg,unknown,unknown,unknown,train,16,2,open_eye,0,2,0,640,640,0.1844,ok,eye_scale,low_light,rgb,68.5,57.14,unknown,unknown,A,eye boxes at eye scale; deployment-relevant framing,KEEP
000012_png_jpg.rf.3f24d2c38acece78dd5263c4df5b3a96,unmatched,C:\mini_yolo\dataset\images\train\000012_png_jpg.rf.3f24d2c38acece78dd5263c4df5b3a96.jpg,unknown,unknown,unknown,train,18,1,open_eye,0,1,0,640,640,0.7625,ok,over_tau,normal_daylight,rgb,149.14,9340.14,unknown,unknown,C,eye box wider than tau: eye close-up crop or face-scale mislabel; ambiguous and not deployment-relevant,REMOVE
000013_jpg.rf.3045ce9e170d84ce5fc53a1b15b4020d,bare_numeric,C:\mini_yolo\dataset\images\train\000013_jpg.rf.3045ce9e170d84ce5fc53a1b15b4020d.jpg,unknown,unknown,unknown,train,20,2,open_eye,0,2,0,640,640,0.1453,ok,eye_scale,normal_daylight,rgb,114.49,150.06,unknown,unknown,A,eye boxes at eye scale; deployment-relevant framing,KEEP
000013_jpg.rf.8f21fa99ea42e2d1aafe281932a79066,bare_numeric,C:\mini_yolo\dataset\images\train\000013_jpg.rf.8f21fa99ea42e2d1aafe281932a79066.jpg,unknown,unknown,unknown,train,21,1,open_eye,0,1,0,640,640,0.7406,ok,over_tau,bright_or_backlit,grayscale_or_ir,202.26,629.25,unknown,unknown,C,eye box wider than tau: eye close-up crop or face-scale mislabel; ambiguous and not deployment-relevant,REMOVE
000013_jpg.rf.d89e2839b0edecbb95aba6509ad6adbf,bare_numeric,C:\mini_yolo\dataset\images\train\000013_jpg.rf.d89e2839b0edecbb95aba6509ad6adbf.jpg,unknown,unknown,unknown,train,22,1,open_eye,0,1,0,640,640,0.3625,ok,eye_scale,bright_or_backlit,grayscale_or_ir,198.92,15417.18,unknown,unknown,A,eye boxes at eye scale; deployment-relevant framing,KEEP
000013_jpg.rf.ef92773e8e49202b542df26a61a18f89,bare_numeric,C:\mini_yolo\dataset\images\train\000013_jpg.rf.ef92773e8e49202b542df26a61a18f89.jpg,unknown,unknown,unknown,train,23,1,open_eye,0,1,0,640,640,0.3625,ok,eye_scale,bright_or_backlit,grayscale_or_ir,197.27,25358.03,unknown,unknown,A,eye boxes at eye scale; deployment-relevant framing,KEEP
000014_jpg.rf.90cac0474a01df50ea528681d4894087,bare_numeric,C:\mini_yolo\dataset\images\train\000014_jpg.rf.90cac0474a01df50ea528681d4894087.jpg,unknown,unknown,unknown,train,25,1,open_eye,0,1,0,640,640,0.6828,ok,over_tau,normal_daylight,rgb,170.97,9034.5,unknown,unknown,C,eye box wider than tau: eye close-up crop or face-scale mislabel; ambiguous and not deployment-relevant,REMOVE
000014_jpg.rf.dd762d08caddf2b5f267c52bec1c1bd4,bare_numeric,C:\mini_yolo\dataset\images\train\000014_jpg.rf.dd762d08caddf2b5f267c52bec1c1bd4.jpg,unknown,unknown,unknown,train,25,1,open_eye,0,1,0,640,640,0.6828,ok,over_tau,normal_daylight,rgb,171.81,328.43,unknown,unknown,C,eye box wider than tau: eye close-up crop or face-scale mislabel; ambiguous and not deployment-relevant,REMOVE
000014_jpg.rf.eb0b1273901a97866605698ab52f03fb,bare_numeric,C:\mini_yolo\dataset\images\train\000014_jpg.rf.eb0b1273901a97866605698ab52f03fb.jpg,unknown,unknown,unknown,train,26,1,open_eye,0,1,0,640,640,0.3984,ok,eye_scale,normal_daylight,rgb,170.14,14469.85,unknown,unknown,A,eye boxes at eye scale; deployment-relevant framing,KEEP
000016_jpg.rf.44a3ea33073e5c87d483ecbbf1150760,bare_numeric,C:\mini_yolo\dataset\images\train\000016_jpg.rf.44a3ea33073e5c87d483ecbbf1150760.jpg,unknown,unknown,unknown,train,27,1,open_eye,0,1,0,640,640,0.2172,ok,eye_scale,normal_daylight,rgb,144.95,7243.46,unknown,unknown,A,eye boxes at eye scale; deployment-relevant framing,KEEP
000016_jpg.rf.683dd5e6de9fad6d87cbd1703c6a93df,bare_numeric,C:\mini_yolo\dataset\images\train\000016_jpg.rf.683dd5e6de9fad6d87cbd1703c6a93df.jpg,unknown,unknown,unknown,train,28,2,open_eye,0,2,0,640,640,0.1062,ok,eye_scale,night_or_very_low_light,rgb,58.92,53.64,unknown,unknown,A,eye boxes at eye scale; deployment-relevant framing,KEEP
000016_jpg.rf.b125057c9e042e2ff2b5b4224c06e14f,bare_numeric,C:\mini_yolo\dataset\images\train\000016_jpg.rf.b125057c9e042e2ff2b5b4224c06e14f.jpg,unknown,unknown,unknown,train,29,1,open_eye,0,1,0,640,640,0.2172,ok,eye_scale,normal_daylight,rgb,145.0,9289.32,unknown,unknown,A,eye boxes at eye scale; deployment-relevant framing,KEEP
000016_jpg.rf.e3d92b73dd3e8dd33f43790841cf9fa1,bare_numeric,C:\mini_yolo\dataset\images\train\000016_jpg.rf.e3d92b73dd3e8dd33f43790841cf9fa1.jpg,unknown,unknown,unknown,train,30,1,open_eye,0,1,0,640,640,0.35,ok,eye_scale,normal_daylight,rgb,145.51,182.7,unknown,unknown,A,eye boxes at eye scale; deployment-relevant framing,KEEP
000017_jpg.rf.89c3634c07faa51f810f91fc67bdf5ce,bare_numeric,C:\mini_yolo\dataset\images\train\000017_jpg.rf.89c3634c07faa51f810f91fc67bdf5ce.jpg,unknown,unknown,unknown,train,31,2,open_eye,0,2,0,640,640,0.1555,ok,eye_scale,normal_daylight,rgb,157.14,47.1,unknown,unknown,A,eye boxes at eye scale; deployment-relevant framing,KEEP
